Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Do you want to take this survey in English or Spanish?¿Quieres responder la encuesta en inglés o español?,Please ask your teacher for their teacher code.,What is the name of your district and school?,,What grade are you currently enrolled in?,What is your gender?,Are you Hispanic/Latino/a?,What is your ethnicity? Select all that apply.,,,,,,,How often do you speak English at home? ,How much do you agree or disagree with the statements below?,,,,"For you personally, how true or not true is the statement below? (Select only one)",How much do you agree or disagree with the statement below? (Select one only),How much do you agree or disagree with the statements below?,,,,,How much do you agree or disagree with the statements below?,,,,"When reading the following statements, think about your current math class and decide how well the statements describe you.",,,,,,,,,,,,,How often does your math teacher do each of the following?,,"Por favor, pídele a tu profesor/a su código.",Selecciona el nombre de tu distrito escolar y escuela.,,"¿Actualmente, en qué grado estás matriculado?",¿Cuál es tu sexo/género?,¿Eres hispano / latino/a?,¿Cuál es tu raza/origen étnico? (seleccione todas las que correspondan),,,,,,,¿Qué tan frecuente hablas inglés en tu casa?,¿En qué medida estás de acuerdo o en desacuerdo con las siguientes declaraciones?,,,,"Para ti personalmente, ¿qué tan verdadera o no verdadera es la siguiente declaración? (Seleccione solo uno)",¿En qué medida está de acuerdo o en desacuerdo con la siguiente declaración? (Seleccione solo uno),¿En qué medida está de acuerdo o en desacuerdo con las siguientes declaraciones?,,,,,¿En qué medida está de acuerdo o en desacuerdo con las siguientes declaraciones?,,,,"Al leer las siguientes declaraciones, piensa en tu actual clase de matemáticas y decide qué tan bien te describen estas declaraciones.",,,,,,,,,,,,,¿Con qué frecuencia su profesor de matemáticas hace cada uno de los siguientes?,
13495679280,410322128,06/15/2022 07:30:17 AM,06/15/2022 07:43:16 AM,23.190.208.166,,,,,English / inglés,JXI0714,Rochester City School District - Monroe Lower,,7,Male,Yes,,,,,,More than one race,,Sometimes,Agree,Disagree,Agree,Agree,Very true,Agree,Disagree,Disagree,Slightly agree,Disagree,Disagree,Agree a little,Agree a little,Agree a little,Agree a little,Mostly like me,Not much like me,Mostly like me,Mostly like me,Not much like me,Mostly like me,Not much like me,Somewhat like me,Not much like me,Somewhat like me,Not much like me,Mostly like me,Not much like me,Some of the time,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495664921,410322128,06/15/2022 07:19:18 AM,06/15/2022 07:29:23 AM,23.190.208.166,,,,,Spanish / español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JXI0714,Rochester City School District - Monroe Lower,,8vo grado,Hombre,Sí,,,,,Blanco,,,A veces,Mayormente de acuerdo,Mayormente de acuerdo,,De acuerdo,Muy cierto,De acuerdo,Algo de acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Algo de acuerdo,Un poco de acuerdo,Muy de acuerdo,Un poco de acuerdo,Un poco de acuerdo,No muy parecido a mí,No se parece a mí,Muy parecido a mí,No muy parecido a mí,Muy parecido a mí,Muy parecido a mí,No se parece a mí,Muy parecido a mí,Muy parecido a mí,Algo parecido a mí,No muy parecido a mí,No muy parecido a mí,Algo parecido a mí,La mayor parte o todo el tiempo,Algunas veces
13495673310,410322128,06/15/2022 07:28:57 AM,06/15/2022 07:29:04 AM,23.190.208.166,,,,,Spanish / español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495663662,410322128,06/15/2022 07:17:39 AM,06/15/2022 07:28:31 AM,23.190.208.166,,,,,Spanish / español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JXI0714,Rochester City School District - Monroe Lower,,8vo grado,Hombre,Sí,,,,,,Más de una raza/origen étnico,,A veces,Muy en desacuerdo,Mayormente en desacuerdo,Mayormente de acuerdo,Mayormente de acuerdo,Extremadamente cierto,De acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Un poco de acuerdo,Un poco en desacuerdo,Un poco en desacuerdo,Un poco de acuerdo,No muy parecido a mí,Algo parecido a mí,Bastante parecido a mí,Algo parecido a mí,Algo parecido a mí,Algo parecido a mí,No se parece a mí,Algo parecido a mí,Algo parecido a mí,No muy parecido a mí,No muy parecido a mí,No muy parecido a mí,Algo parecido a mí,De vez en cuando,Algunas veces
13495656734,410322128,06/15/2022 07:10:07 AM,06/15/2022 07:16:52 AM,23.190.208.166,,,,,English / inglés,JXI0714,Rochester City School District - Monroe Lower,,8,Male,Yes,,,,,,More than one race,,Sometimes,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat true,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree a lot,Agree a little,Disagree a lot,Disagree a lot,Somewhat like me,Not much like me,Not at all like me,Somewhat like me,Mostly like me,Very much like me,Not at all like me,Mostly like me,Very much like me,Not at all like me,Not at all like me,Not at all like me,Not at all like me,Once in a while,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495652565,410322128,06/15/2022 07:05:26 AM,06/15/2022 07:16:51 AM,23.190.208.166,,,,,Spanish / español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JXI0714,Rochester City School District - Monroe Lower,,8vo grado,Mujer,Sí,,,,,,Más de una raza/origen étnico,,A veces,Totalmente de acuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,Extremadamente cierto,De acuerdo,De acuerdo,Algo de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Un poco en desacuerdo,Muy de acuerdo,,Un poco en desacuerdo,Algo parecido a mí,Bastante parecido a mí,Algo parecido a mí,Algo parecido a mí,No muy parecido a mí,Muy parecido a mí,No se parece a mí,Algo parecido a mí,No se parece a mí,Bastante parecido a mí,No muy parecido a mí,Algo parecido a mí,Bastante parecido a mí,La mayor parte o todo el tiempo,La mayor parte o todo el tiempo
13495651613,410322128,06/15/2022 07:04:20 AM,06/15/2022 07:09:48 AM,23.190.208.166,,,,,Spanish / español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JXI0714,Rochester City School District - Monroe Lower,,8vo grado,Hombre,Sí,,,,,,Más de una raza/origen étnico,,Nunca,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,Algo cierto,Algo en desacuerdo,Algo en desacuerdo,En desacuerdo,De acuerdo,Algo de acuerdo,De acuerdo,Un poco de acuerdo,Muy en desacuerdo,Un poco de acuerdo,Un poco en desacuerdo,No muy parecido a mí,Algo parecido a mí,No muy parecido a mí,No muy parecido a mí,Algo parecido a mí,Algo parecido a mí,No muy parecido a mí,Algo parecido a mí,No muy parecido a mí,Algo parecido a mí,No muy parecido a mí,No muy parecido a mí,Algo parecido a mí,Algunas veces,La mayor parte o todo el tiempo
13495649751,410322128,06/15/2022 07:01:53 AM,06/15/2022 07:08:00 AM,23.190.208.112,,,,,English / inglés,DAM1010,Rochester City School District - School 12,,7,Female,Yes,,,,,,More than one race,,Almost always,Mostly agree,Mostly disagree,Mostly agree,Mostly disagree,Somewhat true,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Disagree a little,Disagree a little,Disagree a little,Disagree a little,Somewhat like me,Somewhat like me,Somewhat like me,Not much like me,Somewhat like me,Somewhat like me,Not much like me,Somewhat like me,Somewhat like me,Somewhat like me,Not much like me,Not much like me,Somewhat like me,Once in a while,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495647317,410322128,06/15/2022 06:59:11 AM,06/15/2022 07:07:29 AM,23.190.208.112,,,,,English / inglés,DAM1010,Rochester City School District - School 12,,7,Female,Yes,,,Black or African American,,,,,Almost always,Strongly disagree,Disagree,Mostly disagree,Mostly agree,Somewhat true,Slightly disagree,Agree,Strongly disagree,Slightly agree,Slightly disagree,Slightly disagree,Disagree a little,Agree a little,Agree a little,Disagree a little,Not at all like me,Not at all like me,Not much like me,Not at all like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Not much like me,Not at all like me,Somewhat like me,Somewhat like me,Not at all like me,Some of the time,Some of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495640781,410322128,06/15/2022 06:51:46 AM,06/15/2022 07:06:15 AM,23.190.208.112,,,,,English / inglés,dam1010,Rochester City School District - School 12,,7,Male,Yes,,,,,,,latino/hispanic,Almost always,Mostly agree,Strongly disagree,Strongly disagree,Disagree,Very true,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree a lot,Agree a lot,Agree a lot,Agree a lot,Not at all like me,Mostly like me,Not at all like me,Mostly like me,Very much like me,Very much like me,Very much like me,Not at all like me,Not at all like me,Very much like me,Very much like me,Very much like me,Very much like me,Never,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495645278,410322128,06/15/2022 06:56:16 AM,06/15/2022 07:04:52 AM,23.190.208.166,,,,,Spanish / español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JXI0714,Rochester City School District - Monroe Lower,,8vo grado,Mujer,Sí,,,,,,Más de una raza/origen étnico,,A veces,Totalmente de acuerdo,De acuerdo,Muy en desacuerdo,Totalmente de acuerdo,Extremadamente cierto,De acuerdo,Algo de acuerdo,Algo en desacuerdo,Muy de acuerdo,Algo de acuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,Algo parecido a mí,Algo parecido a mí,Algo parecido a mí,Algo parecido a mí,Algo parecido a mí,Bastante parecido a mí,No se parece a mí,Algo parecido a mí,No se parece a mí,Bastante parecido a mí,Bastante parecido a mí,No muy parecido a mí,Muy parecido a mí,Algunas veces,La mayor parte o todo el tiempo
13495645632,410322128,06/15/2022 06:57:15 AM,06/15/2022 07:03:43 AM,23.190.208.166,,,,,English / inglés,JXI0714,Rochester City School District - Monroe Lower,,8,Male,Yes,,,,,,More than one race,,Always,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not at all true,Agree,Agree,Slightly agree,Strongly agree,Slightly agree,Agree,Agree a little,Agree a lot,Agree a little,Agree a little,Somewhat like me,Mostly like me,Somewhat like me,Somewhat like me,Mostly like me,Somewhat like me,Not much like me,Not much like me,Not much like me,Mostly like me,Somewhat like me,Somewhat like me,Somewhat like me,Most or all of the time,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495639903,410322128,06/15/2022 06:50:39 AM,06/15/2022 07:00:42 AM,23.190.208.112,,,,,Spanish / español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAM1010,Rochester City School District - School 12,,7mo grado,Hombre,Sí,,,,,,,Puerto Rico,A veces,Mayormente de acuerdo,Mayormente en desacuerdo,Mayormente en desacuerdo,Totalmente de acuerdo,No es del todo cierto,Muy de acuerdo,Algo de acuerdo,Algo de acuerdo,Muy de acuerdo,Algo de acuerdo,Muy de acuerdo,Un poco en desacuerdo,Muy en desacuerdo,Un poco en desacuerdo,Muy en desacuerdo,Muy parecido a mí,Muy parecido a mí,Bastante parecido a mí,Algo parecido a mí,Muy parecido a mí,Muy parecido a mí,Muy parecido a mí,No se parece a mí,Algo parecido a mí,Algo parecido a mí,Muy parecido a mí,Muy parecido a mí,Algo parecido a mí,La mayor parte o todo el tiempo,Algunas veces
13495638796,410322128,06/15/2022 06:49:11 AM,06/15/2022 07:00:14 AM,23.190.208.112,,,,,Spanish / español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAM1010,Rochester City School District - School 12,,7mo grado,Mujer,Sí,,,,,,,puerto rico,A veces,En desacuerdo,Mayormente de acuerdo,Mayormente en desacuerdo,De acuerdo,Muy cierto,De acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Un poco de acuerdo,No se parece a mí,Muy parecido a mí,No muy parecido a mí,Bastante parecido a mí,Algo parecido a mí,Bastante parecido a mí,Algo parecido a mí,No se parece a mí,No se parece a mí,Muy parecido a mí,Bastante parecido a mí,Algo parecido a mí,Muy parecido a mí,Nunca,La mayor parte o todo el tiempo
13495638972,410322128,06/15/2022 06:49:27 AM,06/15/2022 06:59:32 AM,23.190.208.112,,,,,Spanish / español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAM1010,Rochester City School District - School 12,,7mo grado,Hombre,Sí,,,,,,,Latino,A veces,Mayormente en desacuerdo,En desacuerdo,En desacuerdo,Mayormente de acuerdo,Algo cierto,De acuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Muy de acuerdo,Muy de acuerdo,Un poco en desacuerdo,Muy de acuerdo,Un poco de acuerdo,Muy de acuerdo,Bastante parecido a mí,No se parece a mí,Muy parecido a mí,No muy parecido a mí,Muy parecido a mí,Muy parecido a mí,No muy parecido a mí,Muy parecido a mí,No muy parecido a mí,Muy parecido a mí,No muy parecido a mí,Algo parecido a mí,Muy parecido a mí,Algunas veces,Algunas veces
13495638960,410322128,06/15/2022 06:49:24 AM,06/15/2022 06:59:14 AM,23.190.208.112,,,,,English / inglés,DAM1010,Rochester City School District - School 12,,7,Male,Yes,,,,,,,hispanic,Almost always,Mostly agree,Mostly disagree,Disagree,Mostly agree,Slightly true,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree a lot,Agree a little,Agree a little,Agree a little,Mostly like me,Somewhat like me,Somewhat like me,Mostly like me,Somewhat like me,Not much like me,Not much like me,Not much like me,Not much like me,Somewhat like me,Somewhat like me,Somewhat like me,Mostly like me,Once in a while,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495642549,410322128,06/15/2022 06:53:49 AM,06/15/2022 06:58:51 AM,23.190.208.112,,,,,English / inglés,DAM1010,Rochester City School District - School 12,,7,Male,No,,,Black or African American,,,,,Almost always,Strongly disagree,Disagree,Disagree,Disagree,Slightly true,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Agree,,,,,Mostly like me,Somewhat like me,,Mostly like me,Somewhat like me,Mostly like me,Not much like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Not at all like me,Somewhat like me,Once in a while,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495638799,410322128,06/15/2022 06:49:06 AM,06/15/2022 06:58:43 AM,23.190.208.112,,,,,English / inglés,DAM1010,Rochester City School District - School 12,,7,Female,Yes,,,,,,,Hispanic or Latina,Sometimes,Disagree,Mostly agree,Disagree,Disagree,Very true,Agree,Agree,Agree,Agree,Agree,Agree,Agree a little,Agree a little,Agree a little,Agree a little,Somewhat like me,Mostly like me,Not much like me,Mostly like me,Mostly like me,Mostly like me,Mostly like me,Not at all like me,Not at all like me,Mostly like me,Mostly like me,Mostly like me,Mostly like me,Most or all of the time,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495639342,410322128,06/15/2022 06:49:52 AM,06/15/2022 06:58:39 AM,23.190.208.112,,,,,English / inglés,DAM1010,Rochester City School District - School 12,,7,Female,Yes,,,,,,More than one race,,Almost always,Agree,Agree,Disagree,Agree,Somewhat true,Slightly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree a little,Disagree a little,Disagree a lot,Disagree a little,Mostly like me,Not much like me,Somewhat like me,Somewhat like me,Not much like me,Mostly like me,Not much like me,Not much like me,Not much like me,Mostly like me,Mostly like me,Mostly like me,Mostly like me,Once in a while,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495638785,410322128,06/15/2022 06:49:16 AM,06/15/2022 06:58:38 AM,23.190.208.112,,,,,English / inglés,DAM1010,Rochester City School District - School 12,,7,Male,Yes,,,Black or African American,,,,,Almost always,Disagree,Disagree,Mostly disagree,Mostly agree,Somewhat true,Agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree a little,Disagree a little,Agree a little,Disagree a little,Somewhat like me,Not much like me,Somewhat like me,Not much like me,Not at all like me,Somewhat like me,Not at all like me,Somewhat like me,Not at all like me,Mostly like me,Mostly like me,Not much like me,Not much like me,Once in a while,Some of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495639287,410322128,06/15/2022 06:49:49 AM,06/15/2022 06:58:02 AM,23.190.208.112,,,,,English / inglés, DAM1010,Rochester City School District - School 12,,7,Female,Yes,,,,,,More than one race,,Almost always,Disagree,Disagree,Disagree,Disagree,Somewhat true,Slightly agree,Agree,Agree,Agree,Agree,Agree,Agree a little,Agree a little,Agree a little,Disagree a little,Not much like me,Mostly like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Not at all like me,Not at all like me,Not much like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495640720,410322128,06/15/2022 06:51:30 AM,06/15/2022 06:57:40 AM,23.190.208.112,,,,,English / inglés,DAM1010 ,Rochester City School District - School 12,,7,Male,Yes,,,,,,,latino,Almost always,Mostly agree,Strongly agree,Strongly disagree,Strongly agree,Extremely true,Agree,Agree,Slightly agree,Agree,Agree,Agree,Disagree a lot,Disagree a little,Disagree a lot,Disagree a lot,Not much like me,Somewhat like me,Very much like me,Somewhat like me,Mostly like me,Very much like me,Not at all like me,Not much like me,Not at all like me,Very much like me,Mostly like me,Not at all like me,Very much like me,Some of the time,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495639162,410322128,06/15/2022 06:49:39 AM,06/15/2022 06:57:38 AM,23.190.208.112,,,,,English / inglés,DAM1010,Rochester City School District - School 12,,7,Female,Yes,,,,,,More than one race,,Almost always,Mostly disagree,Disagree,Disagree,Agree,Somewhat true,Agree,Agree,Slightly agree,,Agree,Agree,Agree a little,Agree a lot,Agree a little,Agree a little,Somewhat like me,Mostly like me,Not much like me,Mostly like me,Very much like me,Somewhat like me,Not much like me,Not much like me,Not much like me,Mostly like me,Somewhat like me,,Mostly like me,Never,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495636849,410322128,06/15/2022 06:45:14 AM,06/15/2022 06:56:53 AM,23.190.208.166,,,,,Spanish / español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JXI0714,Rochester City School District - Monroe Lower,,8vo grado,Mujer,Sí,,,,,,Más de una raza/origen étnico,,A veces,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy cierto,Algo de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Un poco de acuerdo,Muy de acuerdo,Un poco de acuerdo,Un poco de acuerdo,No se parece a mí,Algo parecido a mí,No se parece a mí,Bastante parecido a mí,Bastante parecido a mí,Algo parecido a mí,Bastante parecido a mí,Bastante parecido a mí,No se parece a mí,Bastante parecido a mí,No muy parecido a mí,Algo parecido a mí,Algo parecido a mí,De vez en cuando,La mayor parte o todo el tiempo
13495641164,410322128,06/15/2022 06:52:10 AM,06/15/2022 06:55:20 AM,23.190.208.112,,,,,Spanish / español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAM1010,Rochester City School District - School 12,,7mo grado,Hombre,Sí,,,,,,,puerto rico,A veces,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy cierto,De acuerdo,Muy en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Un poco de acuerdo,Un poco en desacuerdo,,Muy en desacuerdo,No muy parecido a mí,No muy parecido a mí,No muy parecido a mí,No muy parecido a mí,No muy parecido a mí,No muy parecido a mí,No muy parecido a mí,No muy parecido a mí,No muy parecido a mí,No muy parecido a mí,No muy parecido a mí,No muy parecido a mí,No muy parecido a mí,Nunca,Nunca
13495638854,410322128,06/15/2022 06:49:16 AM,06/15/2022 06:54:39 AM,23.190.208.112,,,,,English / inglés,DAM1010,Rochester City School District - School 12,,7,Male,Yes,,,,,,,Hispanic,Almost always,Disagree,Disagree,Strongly disagree,Strongly agree,Somewhat true,Agree,Agree,Slightly agree,Agree,Agree,Agree,Agree a little,Agree a lot,Disagree a little,Disagree a little,Somewhat like me,,Not much like me,Mostly like me,Mostly like me,Somewhat like me,Not at all like me,Not much like me,Mostly like me,Somewhat like me,Mostly like me,Somewhat like me,Somewhat like me,Never,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495639001,410322128,06/15/2022 06:49:29 AM,06/15/2022 06:54:28 AM,23.190.208.112,,,,,English / inglés,DAM1010,Rochester City School District - School 12,,7,Female,Yes,,,,,,,hispanic,Almost always,Mostly disagree,Mostly agree,Mostly disagree,Agree,Somewhat true,Strongly agree,Slightly disagree,Agree,Slightly disagree,Strongly agree,Slightly agree,Disagree a lot,Disagree a little,Disagree a lot,Disagree a lot,Somewhat like me,Not much like me,Not at all like me,Not at all like me,Not much like me,Not much like me,Not at all like me,Not at all like me,Somewhat like me,Not much like me,Not at all like me,Not at all like me,Not at all like me,Once in a while,Some of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495627776,410322128,06/15/2022 06:35:34 AM,06/15/2022 06:36:10 AM,165.155.163.97,,,,,English / inglés,AXH1234,"NYC District 11 - MS 127, NY",,7,Male,No,,,,Asian,,,,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495627616,410322128,06/15/2022 06:35:20 AM,06/15/2022 06:35:25 AM,165.155.163.97,,,,,English / inglés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495620243,410322128,06/15/2022 06:26:30 AM,06/15/2022 06:32:36 AM,165.155.132.153,,,,,English / inglés,LXG1234,"NYC District 11 - IS 287, NY",,7,Female,No,,Native Hawaiian or other Pacific Islander,Black or African American,,,,,Almost always,Disagree,Mostly agree,Mostly disagree,Agree,Very true,Agree,Agree,Agree,Agree,Agree,Agree,Agree a little,Agree a little,Agree a little,Agree a little,Somewhat like me,Mostly like me,Somewhat like me,Mostly like me,Mostly like me,Mostly like me,Mostly like me,Not much like me,Somewhat like me,Mostly like me,Mostly like me,Not much like me,Mostly like me,Never,Some of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495623437,410322128,06/15/2022 06:30:26 AM,06/15/2022 06:30:33 AM,165.155.128.169,,,,,English / inglés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495603925,410322128,06/15/2022 06:06:03 AM,06/15/2022 06:30:13 AM,165.155.137.160,,,,,English / inglés,LXG1234,"NYC District 11 - IS 287, NY",,7,Male,Yes,,,Black or African American,,,More than one race,,Almost always,Disagree,Agree,Disagree,Disagree,Somewhat true,Agree,Agree,Slightly agree,Agree,Agree,Slightly agree,Disagree a little,Disagree a little,Disagree a lot,Agree a little,Somewhat like me,Mostly like me,Not at all like me,Not much like me,Not at all like me,Not at all like me,Not at all like me,Somewhat like me,Somewhat like me,Somewhat like me,Not much like me,Not at all like me,Mostly like me,Some of the time,Some of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495602693,410322128,06/15/2022 06:04:28 AM,06/15/2022 06:29:30 AM,165.155.138.156,,,,,English / inglés,LXG1234,"NYC District 11 - IS 287, NY",,7,Male,Yes,American Indian or Alaska Native,,,,,More than one race,,Sometimes,Agree,Disagree,Mostly disagree,,Very true,,Agree,Strongly agree,Slightly agree,Agree,Slightly agree,Disagree a lot,Agree a little,Disagree a lot,Disagree a lot,Somewhat like me,Mostly like me,,Not much like me,Somewhat like me,Mostly like me,Not much like me,Very much like me,Not much like me,Mostly like me,,Not much like me,Mostly like me,Never,Once in a while,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495606319,410322128,06/15/2022 06:09:29 AM,06/15/2022 06:28:45 AM,165.155.130.166,,,,,English / inglés,LXG1234,"NYC District 11 - IS 287, NY",,7,Female,Yes,,,,,,More than one race,,Sometimes,Mostly agree,Agree,Mostly disagree,Mostly disagree,Somewhat true,Slightly agree,Agree,Agree,Agree,Agree,Agree,Agree a little,Agree a lot,Agree a lot,Agree a little,Not much like me,Somewhat like me,Somewhat like me,Mostly like me,Somewhat like me,Somewhat like me,Not at all like me,Not much like me,Not much like me,Somewhat like me,Somewhat like me,Somewhat like me,Somewhat like me,Most or all of the time,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495602635,410322128,06/15/2022 06:04:23 AM,06/15/2022 06:28:17 AM,23.190.208.112,,,,,English / inglés,DAM1010,Rochester City School District - School 12,,7,Female,No,,,Black or African American,,,,,Always,Disagree,Disagree,Disagree,Disagree,Somewhat true,Agree,Slightly agree,Slightly disagree,Agree,Agree,Agree,Agree a little,Disagree a little,Agree a little,Disagree a little,Somewhat like me,Somewhat like me,Not much like me,Somewhat like me,Somewhat like me,Mostly like me,Somewhat like me,Not at all like me,Not much like me,Mostly like me,,Not much like me,Mostly like me,Once in a while,Most or all of the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495604625,410322128,06/15/2022 06:07:04 AM,06/15/2022 06:23:30 AM,165.155.139.162,,,,,English / inglés,lxg1234,"NYC District 11 - IS 287, NY",,7,Male,Yes,,,,,,,spanish,Always,Mostly disagree,Mostly disagree,Strongly disagree,Strongly disagree,Slightly true,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Disagree,Slightly agree,Agree a lot,Agree a little,Agree a little,Agree a lot,Very much like me,Somewhat like me,Not at all like me,Mostly like me,Not at all like me,Somewhat like me,Not much like me,Somewhat like me,Somewhat like me,Not much like me,Somewhat like me,Somewhat like me,Somewhat like me,Never,Once in a while,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495604680,410322128,06/15/2022 06:07:11 AM,06/15/2022 06:23:17 AM,165.155.140.168,,,,,English / inglés,LXG1234,"NYC District 11 - IS 287, NY",,7,Male,Yes,,,,,White,,,Almost always,Mostly disagree,Disagree,Disagree,Mostly agree,Extremely true,Strongly agree,Slightly agree,Slightly agree,Agree,Agree,Agree,Disagree a little,Agree a little,Agree a little,Disagree a little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13495614358,410322128,06/15/2022 06:19:14 AM,06/15/2022 06:22:53 AM,165.155.132.158,,,,,English / inglés,lxg1234,"NYC District 11 - IS 287, NY",,7,Male,Yes,,,,,,More than one race,,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
