"How, if in any way, this course helped you prepare for school opening after COVID-19?",The independent online work activities were well-designed to help me meet the learning targets.,The Zoom meeting activities were well-designed to help me meet the learning targets.,I felt a sense of community with the other participants in this course even though we were meeting virtually.,This course helped me navigate remote and/or hybrid learning during COVID-19.
Ideas and supports that can be used virtually in the invite that we have to deliver lessons online,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
The virtual aspect of teaching was addressed.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I know of many options for teaching students both whole group and independently,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"Ideals of ways in which we should prepare for asynchronous work expectations, as well as",Strongly agree,Strongly agree,Strongly agree,Strongly agree
more time planning virtually - unit planning - asychronous and synchronous,Agree,Strongly agree,Strongly agree,Strongly agree
"I have gained a different aspect of teaching, of course virtually, and learned how my teaching style can be modified to adjust to virtual learning.",Agree,Agree,Agree,Agree
"In the event we have to go virtual, I am prepared with ways to support my teachers with delivering their daily lessons in a virtual platform.",Agree,Agree,Agree,Agree
It helped me be more efficient if we have to do virtual learning.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Strategies for engagement during virtual lessons,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Understanding how to decipher from synchronous and asynchronous in guidebook lessons,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It gave me a few more ideas and insights into how to hold a face to face virtual lesson!  Thank you!,Strongly agree,Agree,Strongly agree,Agree
Learned new engaging strategies to deliver content.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This course gave me some good experience in a virtual classroom and techniques to address the unique situations that come with that environment.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"I learned how to use the various tools in ZOOM. Although, I had some technical issues, I was encouraged to work thru them and better my efficiency.",Agree,Agree,Agree,Agree
"By digging into the lessons, we were able to analyze which parts were suited for synchronous learning and which were better suited for asynchronous learning.",Strongly agree,Strongly agree,Strongly agree,Agree
It has helped me to really dig into the unit so I can teach my students more effectively.,Strongly agree,Strongly agree,Strongly agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This meeting helped me locate resources to use.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"This course has given me a new way at breaking down guidebooks. While I may still need to navigate how this will affect students online learning, today's session helped me identify what can easily been completed at home and what is most important for classroom discussion.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
Sync vs async,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It helped pin point what should be virtual and what should be classroom,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"By digging into the lessons, we were able to analyze which parts were suited for synchronous learning and which were better suited for asynchronous learning.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
Sync vs async,Strongly agree,Strongly agree,Strongly agree,Strongly agree
More exposure to Zoom meetings and setting up lessons from an online source,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I became more familiar with Guidebooks 9-12 and with ZOOM as well.  This will help if we have to go to virtual classes.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
How to unpack the curriculum and plan for instruction regardless of virtual or brick and mortar presentation.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"Teachers will be able to determine what courses can be virtual and which can be face to face.  With the optional activities, it will be easier to help struggling students using the platform as well.",Strongly agree,Strongly agree,Strongly agree,Agree
"When we talked about annotating lessons, we mentioned how to address certain activities virtually.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It did not help with that.,Strongly agree,Agree,Strongly agree,Agree
The course helped give me ideas on how to plan for virtual learning,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I know how I want to decorate my room to improve learning.,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
"It helped me learn more about the guidebooks, but it would've be even more helpful if there were some tips and tricks on how to adapt the guidebooks to virtual learning, if need be.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
"Being around teachers across the nation and the encouragement that brought.  It was a morale booster to learn the new, exciting units in guidebooks which helps alleviate some of the dread of the other challenges we will face.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Agree,Agree
Got me back into the flow and thinking about practical applications,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Deep dive into guidebooks,Strongly agree,Strongly agree,Strongly agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
gave me new tools,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"It prepared me to deliver engaging lessons to ALL of my students.  The training helped me to be able to challenge, engage, and empower my students!",Strongly agree,Strongly agree,Strongly agree,Strongly agree
I am prepared whether it be after COVID or not.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
That wasn't really the focus of our training.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
I feel much better about planning for what comes next. There is so much uncertainty with what will happen next year...but now I know what to do in order to plan lessons for my students.,Agree,Agree,Agree,Agree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
"Yes, it was helpful to know how to address these guidebooks and even use some of the resources in a virtual form.",Strongly agree,Strongly agree,Strongly agree,Agree
NA,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree
NA,Agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Agree,Strongly agree
NA,Strongly agree,Agree,Strongly agree,Agree
NA,Strongly agree,Agree,Agree,Strongly agree
NA,Strongly agree,Agree,Agree,Agree
I know how to implement the Guidebooks lessons better with my own students and to help other teachers understand it.,Agree,Neither agree nor disagree,Strongly agree,Agree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
"Unfortunately, one of the primary concerns for school opening after COVID-19 are all the 'unknowns' on top of the epidemic itself. However, this course was taught in a way that actually helped ease the unnecessary anxieties with school beginning and helped find solutions to potential struggles produced by the virus; such as internet restrictions, one to one meetings. Lauren made many great suggestions and asked us what we thought may be suitable solutions. She helped us remember to be thinking forward when it comes to these relational meetings. It may not be as easy to conduct a meeting over coffee but doing one virtually. Furthermore, we were allowed to collaborate with our peers, which as we all should know by now, is fundamental to creating an effective professional learning community.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
We did not address the topic of Covid-19.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Blended or virtual learning strategies were not addressed as much as they could have been.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
n/A,Strongly agree,Agree,Agree,Strongly agree
Being able to ask district specific questions.,Agree,Agree,Agree,Agree
preparation,Agree,Agree,Strongly agree,Strongly agree
Clarified information I was unable to find on the Louisiana Believes website.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
this course has allowed me to narrow my focus to what is important to my students.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
More ideas on how to deliver Guidebooks in a virtual way.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
We didn’t really address that much.,Agree,Agree,Agree,Strongly agree
NA,Agree,Neither agree nor disagree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Agree
"If anything, it helped me become more familiar with strategies.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Agree,Agree
An example of virtual learning!,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Strongly agree,Strongly agree,Neither agree nor disagree
I do not think the boot camp helped with COVID return preparations.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"I believe this course helped prepare me for teaching the curriculum in a regular classroom setting. I was given excellent tools and resources that I can implement in my classroom to help my students become stronger readers and critical thinkers. However, I do not feel that this course addressed issues that may arise with us going back to school in a COVID-19 environment. I taught 2nd grade before the shut down, and some of my students were so far behind that they couldn't even write a complete sentence. (A couple of my students read on a kindergarten level at the end of the year and a couple of them still wrote some letters backwards.) I worry that these students will not be prepared for the rigor of this curriculum. Even though the units will start off less complex and gradually build on themselves and the standards will spiral back, I worry that my incoming 3rd graders may be so far behind. I am grateful for this course, the awesome resources, and excellent insight I was given, but I wish there was a way for me to bridge the gap that my students will likely come to me with.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
Having a positive environment among others while participating with each other online.,Strongly agree,Strongly agree,Agree,Agree
Offered clear understanding of how Guidebooks are organized and this will make my planning more efficient,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Discussing ways to adapt group and pair activities,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"I feel like it was too long of a course and did not prepare me for planning this school year. Though very informative and extremely well done, I don't feel its length was necessary.",Agree,Disagree,Agree,Strongly agree
this helped me prepare to use guidebooks...the virtual experience went smoothly,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It hasn't,Disagree,Neither agree nor disagree,Agree,Strongly agree
It gave me a great example of the use of zoom with instruction.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
"It helped me understand better the content I will be teaching, and gave me ideas on things to do virtually with my students.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
It helped me to understand the new curriculum that I will be teaching so I can better service my students,Agree,Agree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Agree,Agree,Agree
NA,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
This course helped me feel prepared and comfortable with the material that we will be returning to school with,Strongly agree,Strongly agree,Strongly agree,Strongly agree
N/A,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
"I feel more comfortable for the next school year, regardless of how we open.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
Managing effective teaching strategies using Zoom.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Agree,Neither agree nor disagree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This didn't really cover anything about Covid - it's about the curriculum,Agree,Agree,Agree,Agree
Helped me be more familiar with using the guidebooks and some strategies to use virtually,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Ready to dig in,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Gave me some reassurance that I would be able to do it and I am not in this alone.,Agree,Agree,Agree,Strongly agree
NA,Strongly agree,Agree,Strongly agree,Strongly agree
By emphasizing teachers should dig into the lessons to determine which activities need to be synchronous/asynchronous,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
feeling more comfortable with the material,Agree,Strongly agree,Agree,Strongly agree
Helped me to prepare lessons and know which should be instructor-led and which ones students can do self paced.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
IM provides student links for independent work online,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Disagree,Neither agree nor disagree,Disagree
Being able to have the time to discuss what was really important and how to translate it into online learning was wonderful.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Strongly agree,Strongly agree
"I feel much more comfortable, thank you!",Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Provided a sense of ease and confidence,Strongly agree,Strongly agree,Strongly agree,Strongly agree
yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"I feel much more comfortable, thank you!",Strongly agree,Strongly agree,Strongly agree,Strongly agree
"In our break out group, we discussed specific modifications we can make to lessons and our instruction to meet the needs of students. We also discussed ideas for teaching and engaging students virtually.",Strongly agree,Agree,Strongly agree,Strongly agree
No,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
It helped with navigating the new Guidebooks site.,Strongly agree,Agree,Agree,Strongly agree
Helping us by answering questions !,Strongly agree,Strongly agree,Strongly agree,Strongly agree
to stay focused on skill and knowledge for each lesson,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Our breakout group was great with discussions to prepare for the school year.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
yes,Agree,Agree,Agree,Agree
NA,Strongly agree,Agree,Agree,Strongly agree
I do not really feel that it did this.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Helped me to better understand the curriculum and how to implement it virtually or blended,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I'm better prepared to use Zoom.,Agree,Agree,Agree,Agree
It allowed me to analyze how we will begin our year online using Guidebooks.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Preparing/adapting Guidebooks lessons for virtual instruction.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
"Yes, I feel prepared to help my teachers in planning.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
Online prep.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It really did not. It seemed to not have adapted to our current models and to be aimed at first year teachers.,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
It was helpful to collaborate with my peers.,Agree,Agree,Agree,Strongly agree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
NA,Agree,Agree,Agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"I know I must go back, look at my slides, and pull out important things kids must know.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
options,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Strongly agree
More comfortable with technology,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Disagree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
It gave me ideas for how to conduct the benchmarks and how to teach lessons virtually.,Agree,Neither agree nor disagree,Agree,Strongly agree
NA,Agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Strongly agree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
The presenters were very helpful at giving us ideas to teach skills block virtually,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Strongly agree,Agree
By providing feedback and activities,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
n/a,Strongly agree,Strongly agree,Strongly agree,Strongly agree
n/a,Agree,Agree,Agree,Agree
It showed me how you can teach a lesson on a Google Meet.,Agree,Agree,Agree,Agree
Gave me ideas and examples for teaching skills virtually.,Agree,Agree,Agree,Strongly agree
The presenters often gave tips on how to deliver the instructional material virtually.,Strongly agree,Agree,Strongly agree,Strongly agree
It gave me time to really look into the curriculum.,Agree,Agree,Agree,Agree
NA,Agree,Agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
To think about student needs in a virtual world with a new curriculum.,Strongly agree,Agree,Strongly agree,Agree
I am new to the EL curriculum. I learned how to assess students and learn what Skills Block is and how to implement small groups effectively in the classroom setting. I am still wondering how Skills Block will look virtually.,Strongly agree,Neither agree nor disagree,Agree,Agree
NA,Agree,Agree,Agree,Neither agree nor disagree
Learning the components and getting familiar with the process,Agree,Agree,Agree,Neither agree nor disagree
NA,Agree,Agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Agree
I am more familiar with the materials and planning for differentiated instruction for my upcoming 2nd graders,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Being able to see a virtual lesson during the skills block zoom calls will help me implement in a virtual classroom.,Agree,Agree,Agree,Agree
I have a better understanding of the program.,Agree,Agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Resources for virtual teaching and assessing have been made available.,Agree,Agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I feel more confident with our new curriculum.,Agree,Agree,Agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
The course helped me to focus on what instruction is important for the upcoming year.  Thank you!,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Looking at the Blended Learning doc,Strongly agree,Strongly agree,Agree,Strongly agree
More virtual ways to teach,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
New info. That I did not access before,Strongly agree,Strongly agree,Strongly agree,Strongly agree
We quickly went over a few of the guidelines which helped me a lot.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Strongly agree
"It helped me to understand what questions to ask about each of the lessons, like what's most important for the students to take away.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
Reflective time digging into and interacting with the lessons,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Helping me identify what can be done at home!,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Planning ahead was really helpful looking at our specific units,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Brief discussion on what we could possibly do in the event we go virtual.,Agree,Agree,Agree,Strongly agree
Gave me a better scope of unit sequence so I can make my units digital.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
info on where to find digital sources,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"by collaborating with teachers from other schools, encouraged and provided myself with more knowledge on how to be a more efficient and effective teacher",Agree,Agree,Strongly agree,Strongly agree
I was able to familiarize myself with the Guidebooks lessons and where to locate resources.,Agree,Agree,Agree,Strongly agree
I was able to find multiple ways to incorporate the lessons virtually.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
More virtual ways to teach,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This course helped me consider how to implement the lessons/sections/unit in a synch/asynch way.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
By looking at the knowledge and the skills,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Suggestions for planning online classes,Agree,Agree,Agree,Agree
Help with making good choices for assignments in planning,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Let me know what the students will be doing on their home learning days.,Agree,Strongly agree,Neither agree nor disagree,Agree
"In truth, there was not as much energy focused on the COVID-19 element of teaching because this was primarily an introduction to Guidebooks. Were we to have more time after having had the introduction, we might have been able to spend more time discussing how to employ these tools/lessons through a mostly virtual format. I will say, though, that I feel more confident after this in my ability to make this curriculum work within a COVID-19 world.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Deciding how lessons or parts of lessons could be completed virtually,Strongly agree,Strongly agree,Strongly agree,Agree
NA,Strongly agree,Agree,Agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I was able to collect great ideas from other teachers on how to make some of the activities virtual.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
The session gave me some ideas as to how to complete tasks virtually.,Strongly agree,Strongly agree,Strongly agree,Agree
How to manage this digital world,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Somewhat - got me planning,Agree,Agree,Agree,Agree
NA,Agree,Agree,Agree,Agree
"To better prepare, we needed to know what students are doing at home on the days they are not at school? Hard to plan when we don't know what half the class is doing half the week.",Neither agree nor disagree,Disagree,Disagree,Agree
We have not yet been given guidance from the district.,Agree,Strongly agree,Agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Agree
This was awesome--we shared ideas and platforms.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I like the fact we could collaborate and get several ideas about using guidebooks.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Considering use of virtual options for everything,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This course helped me get familiar with the content of the curriculum and the purpose of the first unit.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Agree,Strongly agree
making adjustments to lessons,Agree,Agree,Agree,Agree
Many ideas for adaptations for virtual,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It showed me where all of the resources are online.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
New info. That I did not access before,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"Comfort level with the new curriculum, as it will be my first year teaching.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
Present examples of what lessons may look like if we were to go fully virtual or on student off days,Agree,Agree,Agree,Strongly agree
This helped me understand how the lessons build to the cumulative task,Agree,Agree,Agree,Strongly agree
Collaboration with other teachers was super helpful.,Strongly agree,Strongly agree,Agree,Strongly agree
Looking at the Blended Learning doc,Strongly agree,Strongly agree,Agree,Strongly agree
NA,Strongly agree,Agree,Strongly agree,Agree
N/a,Agree,Agree,Strongly agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Focus on virtual learning,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
We did not learn  anything about pacing or how to adapt for the A/B Hybrid model.,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
i am more familiar with the Hub,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Neither agree nor disagree,Disagree,Strongly agree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Agree,Agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
New info. That I did not access before,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Agree,Agree,Strongly agree
"Learned new ways to Annotate, plan and organize my work.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It provided a better understanding of the lesson structures while having important questions/issues addressed.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Neither agree nor disagree,Disagree,Agree
found docs and learned annotation procedure,Strongly agree,Agree,Agree,Agree
It's given me ideas for how I can meet with small groups and adjust lesson directions for partner work.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
LPSS needs to communicate better about their virtual plans before this is presented.  The presenter can't answer those questions for us.,Strongly agree,Agree,Agree,Strongly agree
more familiarity with the curriculum,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Ideas for at home learning,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"More cooperative teaching, not only at our school, but throughout the District (ie: sharing ideas & materials, resources, etc)",Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It helped me to think about and plan for changes in instruction due to hybrid or virtual scheduling.,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
using google hangout for small groups,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
In my break-out group I was confused about how to use Kami. I shared a screen and partners walked me through a bit.,Agree,Agree,Agree,Agree
Second day better-new to guidebooks-probably needed a third day,Agree,Agree,Agree,Neither agree nor disagree
"This prepared me for hybrid, but I', still unsure about what to plan for students.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
It didn't,Neither agree nor disagree,Disagree,Disagree,Strongly agree
NA,Strongly agree,Agree,Agree,Agree
NA,Strongly agree,Strongly agree,Agree,Neither agree nor disagree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
feel more prepared,Agree,Agree,Agree,Agree
Sharing tools/ideas with other teachers.,Neither agree nor disagree,Agree,Agree,Agree
I was able to discuss the pacing guide in relation to COVID-19 pacing,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Helped with ideas for lesson planning/hybrid leaning ideas,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Helped me realize the importance of breaking down the lessons so I can make sure my students are regaining the learning loss.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
time to plan with others and share,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
We need answers from the district as far as pacing and lesson expectations for virtual.,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree
Looking at lessons and knowing what to do next.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
speaking with colleagues was helpful in how they would handle various activites,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"yes, making me think how I would work my lessons for virtual.",Agree,Agree,Agree,Agree
Gave good info on breaking down lessons,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
By unpacking and planning the first lesson toget,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Ideas for collaboration when kids are 6 feet apart.,Agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
Sharing ideas amongst teachers helps with support of the unknown,Strongly agree,Agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
Collaborating with other teachers to adapt lessons for hybrid model and for additional safety concerns,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Easier guides to follow,Strongly agree,Strongly agree,Strongly agree,Agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
NA,Agree,Agree,Agree,Strongly agree
I still don't feel like I know what to do to plan for this upcoming year as a new ELA teacher.,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
The Link to the virtual model will be helpful.,Agree,Agree,Agree,Strongly agree
