date_for_the_session,professional_training_session,select_your_site_district_parish_or_network,select_the_best_description_for_your_role,select_the_grade_band_s_you_focused_on,learning_session_satisfaction,todays_topic_was_relevant_for_my_role,designed_to_help_me_learn,learning_to_try_out,likely_to_apply_46_weeks,select_the_name_of_your_first_facilitator,s_he_facilitated_the_content_clearly_12,s_he_effectively_built_a_community_of_learners_13,did_you_have_a_second_facilitator,select_the_name_of_your_second_facilitator,s_he_facilitated_the_content_clearly_16,s_he_effectively_built_a_community_of_learners_17,overall_what_went_well_in_this_professional_learning,which_activities_best_supported_your_learning,what_could_have_improved_your_experience,likely_to_recommend_colleague_friend,why_did_you_choose_this_rating,do_you_have_additional_comments
2019-07-22,Guidebooks CM-1,Ascension Parish,Teacher or specialist,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Different strategies for rereading a text.,Agree,Lauren,Agree,Agree,NA,NA,NA,NA,Getting to look at some of the different activities,Gallery walk,Getting more into the guidebooks units online. I'm still not sure how they will all work.,4,I don't feel like I'm taking much away from this.,no
2019-07-22,Guidebooks CM-1,Ascension Parish,District/network-based coach or Curriculum and instruction specialist,NA,Strongly agree,Agree,Strongly agree,Support for struggling and diverse learners.,Strongly agree,Lauren,Strongly agree,Strongly agree,NA,NA,NA,NA,Scaffolded lessons that allowed for engagement,Discussing how fluency can be built in classrooms.,Teachers being able to see more of their own grade-level examples versus the 8th grade unit.,10,Approachable and easy to implement,NA
2019-07-22,Guidebooks CM-1,Ascension Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,The depth of thinking required for Guidebooks,Strongly agree,Lauren,Strongly agree,Strongly agree,NA,NA,NA,NA,Being able to see sections of Guidebooks lessons with an explanation .,The gallery walk,Nothing,10,I kike the delivery and format of materials,NA
2019-07-22,Guidebooks CM-1,Ascension Parish,Teacher or specialist,NA,Agree,Agree,Neither agree nor disagree,Actually implementing the GuideBooks,Strongly agree,Lauren,Strongly agree,Strongly agree,NA,NA,NA,NA,Discussions,The Road Not Taken,Some things could have been condensed.,8,Lengthy.,NA
2019-07-22,Guidebooks CM-1,Ascension Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,reader's circle,Strongly agree,Lauren,Strongly agree,Strongly agree,NA,NA,NA,NA,presentation (engagement),discussions,n/a,10,Facilitator,NA
2019-07-22,Guidebooks CM-1,Ascension Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reading circle,Strongly agree,Lauren,Strongly agree,Strongly agree,NA,NA,NA,NA,Gaining a better understanding of fluency and it's role in the classroom.,Partner reading of the excerpt of Pandora's Box.,N/A,10,Clear expectations,NO
2019-07-22,Guidebooks CM-1,Ascension Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,a process for planning and a process for teaching literacy,Strongly agree,Lauren,Strongly agree,Strongly agree,NA,NA,NA,NA,discussion,"jigsaw of fluency components, Reader's Circle Experiential",student to student interaction for boring content,10,professional and knowledgeable,NA
2019-07-22,Guidebooks CM-1,Ascension Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Text Based Instruction,Strongly agree,Lauren,Strongly agree,Strongly agree,NA,NA,NA,NA,"Comfortable environment, engaging, thought provoking",Group activities,More smaller breaks,9,The quality of the session was really good. Very well planned,NA
2019-08-23,Guidebooks CM-1,Allen Parish,School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,Shifts,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Partner talk,Partner,Little time to talk with teachers about we just discussed. New Teachers,10,Informative,N/A
2019-08-23,Guidebooks CM-1,Allen Parish,School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,Shifts,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Partner talk,Partner,Little time to talk with teachers about we just discussed. New Teachers,10,Informative,N/A
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Excited is an overstatement, but the reading circles were interesting.",Neither agree nor disagree,Leigh,Agree,Neither agree nor disagree,NA,NA,NA,NA,It was nice to visit with people from other schools. The chocolate was nice.,"I don't know. I'm tired, and it's Friday.",It was fairly dull. It would be nice if we used texts that weren't all 8th grade. What's the obsession with 8th grade? There are other teachers here who would like relevant texts.,0,"It's boring, mostly irrelevant, and I'm still mad at how awful day one was.",NA
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Fluency as RTI,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Grouping accordingly,Cooperative learning strategies,Coffee...,9,Excellent presenter& applicability,NA
2019-08-23,Guidebooks CM-1,Allen Parish,School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,Fluency,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Collaboration,Collaboration,N/a,10,It helps understand the Guidebook,NA
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Agree,Strongly agree,Strongly agree,Reading Circles,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Cooperative learning,Partner talk,Coffee,10,This is a good training especially for new teachers,NA
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Text based Instruction,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Overall community building,Partner conversations,More in depth into instruction of guidebooks,10,This is one of the best PD trainings I’ve had,NA
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reader's circle,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Discussion,Grade level group,Nothing,9,Easy to understand and informative,NA
2019-08-23,Guidebooks CM-1,Allen Parish,School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,Literacy circle,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Hands on,Fluency revamp and remind,Hopefully look deeper and the literacy circle .... like specifically meeting gaps and work to meet needs,10,Instructor,NA
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Agree,Agree,Agree,Fluency,Agree,Leigh,Agree,Agree,NA,NA,NA,NA,Grade level grouping,Gallery walk,Nothing,8,Good,N/a
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Building background knowledge,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Group work,Partner talks,It was informative,10,Because it was informative,NA
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Fluency,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Gallery walk,Robert frost,Nothing,10,Effective training session,No
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Agree,Agree,Agree,Readers circles,Agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Time management,Group work-different perspectives,Not sure,9,I enjoy teaching lab training,No
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Neither agree nor disagree,Agree,Strongly agree,Reading circles,Strongly agree,Leigh,Strongly agree,Neither agree nor disagree,NA,NA,NA,NA,More learning strategies were taught during today’s session and I definitely appreciated that.,Taking a text and working through it just like my students would.,Perhaps more pacing....more short breaks.,5,I feel like this is something everyone can benefit from.,NA
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,I loved the Reader’s Circles Experiental. It is a great visual for my students that struggle with moving past the concrete or those that try to jump to the thematic.,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Sharing with those at my grade level,Reader’s Circles,Slightly more time to share during partner talk. Some learning felt a bit rushed.,8,Thoroughly covers the information and makes the guidebook seem slightly more useful.,NA
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Text based vs strategy based,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Yes,Being grouped with same grade level,Being taught how to use the guidebook prior (I’m a first year teacher),10,Great info,NA
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,The Readers Circle,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Seeing the process of going through a complex text,Readers Circle,N/A,10,I feel like pieces of the puzzle finally fit,NA
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Experimental reading circles,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Group collaboration,Working with content level teachers,More group activities,10,I found today’s learning would influence my teaching.,NA
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Fluency building,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,We learned strategies for building fluency in middle school students,Text based instruction,More strategies,10,Useful PD,NA
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Fluency,Agree,Leigh,Strongly agree,Agree,NA,NA,NA,NA,Content Grouping,Fluency,More specific content,6,Not sure,No
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Agree,Agree,Agree,Readers circle,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Instructional shifts,Readers circle,More guidebook guidance,8,I would,NA
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Agree,Agree,Agree,Close read of poem in unit.,Strongly agree,Leigh,Agree,Agree,NA,NA,NA,NA,Longer talk time,Group work,It was good.,8,Haven’t seen it all yet.,No
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Creating thought prevoking questions.,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,It was a very informative sessiin,The Robert Frost poem,Nothing.,10,I enjoyed the session,No
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Continuing the work with integrity,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,The group discussions,Readers circles,Nothing it was all good,10,I have taken away so much,NA
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Fluency,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Fluency,Readers circles,Nothing,10,Impressed,NA
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Shifts in guidebooks,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Clear articulation of the material,Pictionary to review learning,Nothing,10,Material is relevant,NA
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Agree,Agree,Agree,Cold read task,Agree,Leigh,Agree,Strongly agree,NA,NA,NA,NA,The Robert Frost part,Robert Frost part,Group discussion,7,Today was better,No
2019-08-23,Guidebooks CM-1,Allen Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reader’s Cirlces,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,"Group collaboration, retainment of information",Reader’s circle,N/A,10,Loving it and getting to collaborate with my teacher friends!,NA
2019-08-07,Guidebooks CM-1,Calcasieu Parish,School-based coach,NA,Strongly agree,Strongly agree,Strongly agree,Strategy vs text based,Neither agree nor disagree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Knowledgeable presenter,Strategy vs text based,A/c,9,Knowledgeable presenter,NA
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Revisiting and implementing good fluency practices,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Identifying the strands embedded in the Guidebooks,Identifying components,Margaritas,9,Can pay forward information without having to take course,NA
2019-08-07,Guidebooks CM-1,Calcasieu Parish,School-based coach,NA,Agree,Strongly agree,Agree,Research has proven that text based instruction is more productive than strategy based instruction.,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Group activities,Jigsaw,Less time on the pictionary game,10,It is very insightful to help understand the WHY of GB,NA
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reading circles,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Lots of productive discussion,Addressed several learning styles,Cannot think of one thing ;),10,Engaging and informative,No
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,"I really enjoyed the fluency discussions. I learned that a little bit of practice just reading aloud will help students get stronger. That makes me feel a little reassured, because I always assumed the students would need in-depth learning of phonics, which I can't offer them.",Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Everything went well. I really liked the discussions today about fluency.,Group discussions and the research=based slides.,It was great. No complaints!,10,Leigh has been great. Super sweet and very helpful and great with time management.,"I apologize for my tech time today, I just found out my house sold! Woohoo! But I know you noticed and commented on tech time. I apologize. Won't happen again!"
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Fluency Foundation,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,The gallery walk and jigsaw. It was quieter in thinking times.,Reading circles,More focused group members,10,"Professional, well organized",No
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Agree,Agree,Fluency practice strategies,Strongly agree,Leigh,Agree,Agree,NA,NA,NA,NA,Seeing the examples,The road not traveled,Nothing,7,Very informative,NA
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,All,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,All,All,All,10,Great,NA
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Spending more time unpacking the cold read task,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Pacing,Unpacking a cold read and the reader’s circle,It’s such a long day packed with ALOT of information,10,I enjoy the presenter,NA
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Agree,Agree,Agree,I am looking forward to unpacking the Cold Read tasks with my teaching teams. I feel that having my teammates see the relevance of how Guidebooks connect to the end will help with buy-in.,Strongly agree,Leigh,Agree,Agree,NA,NA,NA,NA,Having models to help with understanding the why's behind the structure was effective.,Reading the poem.,N/A,9,I think that other teachers would benefit from the knowledge and help with buy-in.,I felt the pictionary game was not necessary to the presentations
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Some of the fluency strategies that I haven’t tried since I was teaching elementary.,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Communication between learners,The gallery walk,Temp,10,Because it impacted my learning,NA
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Components of literacy,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Collaboration,Gallery walk and discussion,None,10,Everything was organized and well presented,No
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Fluency,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,I like. The role playing and wearing the hat of a student.,becoming the student,Still a few extra conversations going on,10,The WHY is what creates the buy-in,NA
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Agree,Agree,Agree,Fluency,Agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Collaborating,Importance of fluency,More in class examples,8,Excellent,NA
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Fluency,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,All,All,High school examples/text samples,9,Academically challenging,No
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Fluency,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,We worked quickly to accomplish our goals,Readers circle activity,?,9,Hands on activities help me,NA
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Fluency practuce,Strongly agree,Leigh,Strongly agree,Agree,NA,NA,NA,NA,Everything!,Gallery walk and Reader’s Circle Experiential,Less sidebar conversations—it really bothers me that my peers are disrespectful of you :(,9,The attention to detail in the training and the materials,Fluency as a Foundatuin was a real eye opener for me!
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reading circles - more effectively,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,"Today was even better than yesterday! Collaboration, discussion, interaction was great.",JIGSAW practice of fluency strategies,Nothing - it was awesome,10,This has been eye-opening and worthwhile.,I really enjoy our facilitator.
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Partner and Echo reading,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Walk around,Partnering /group discussion,?,10,This PD has helped better my understanding of the structure of the guidebooks.,Na
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Neither agree nor disagree,Strongly agree,Fluency strategies,Neither agree nor disagree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Well organized.,Group discussion,An extra break.,10,Training seems to be effective and useful,NA
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Agree,Strongly agree,Instructional shifts,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Collaboration,Unpacking the Guidebook Cold Read Task,Being able to collaborate and share ideas with peers more,10,To receive first hand information and training,NA
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Fluency building practices,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Fun group learning and Pictionary!,"Reading circles, acting out scenarios",Nothing,10,"I learned a ton and it was organized, clear and coherent",No
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Agree,Strongly agree,Agree,Fluency,Disagree,Leigh,Agree,Agree,NA,NA,NA,NA,Groups,All,Nithing,7,It’s helpful,NA
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Agree,Agree,Focusing more on text based instruction and less on strategy,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Collaboration,Readers theater,"NA",8,Lots of helpful information but LOTS of it,NA
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Fluency strategies,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Variety,All,Nothing,10,It has been great!,No
2019-08-07,Guidebooks CM-1,Calcasieu Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,More text based learning,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Group and partner discussion,Discussion,N/A,9,It was excellent,NA
2019-08-07,Guidebooks CM-1,Calcasieu Parish,School-based coach,NA,Strongly agree,Strongly agree,Strongly agree,Strategy vs text based,Neither agree nor disagree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Knowledgeable presenter,Strategy vs text based,A/c,9,Knowledgeable presenter,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,The idea that a student is not a specific reading level but a band of reading level based on the schema of their background knowledge.,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Discussion,Discussion and exemplars,Nothing,10,Overall informative,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Practice for fluency,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Game after lunch got the energy back up.,Working with a partner or groups of 3.,It was great.,10,It was great,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Close reading,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Entire group was engaged,Close reading,N/a,10,I feel teaching effectiveness will improve moving forward.,N/a
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,"I'm excited, but also nervous about shifting to a text based class as opposed to a strategies based classroom.",Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,The discussions created deeper understanding of the process.,The poetry analysis.,Nothing,10,Because the pd is applicable to what I am doing in real life,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,The text based approach rather than the strategies based approach. I’m interested to see the this shift in focus and how it impacts my students and my teaching.,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,The information was presented clearly to me and walked me through the research and why behind the methods. Very helpful in understanding the big picture!!,The fluency experiential with the Robert Frost poem,"Nothing, I really learned a lot",9,"Clear and informative, knowing the why is really helping me understand",NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,Observing students and teachers using the Guidebooks curriculum,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,The group discussions,Teacher guidance and group discussions,N/A,10,Pleased with the training,Thank you!
2019-07-23,Guidebooks CM-1,Lafayette Parish,School-based coach,NA,Strongly agree,Agree,Strongly agree,"That all teaching should be text-based, not strategies-based. Strategies are still important to help kids be successful, but they should be used to support comprehension.",Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,The pace and effectiveness of each activity.,"Talking about it. Being given time to THINK so that we understand the impact. (snacks were awesome, too! LOL)","more comfortable chairs! seriously, presenter was outstanding!",10,They are helping be truly effective as we teach students!,Thank you for being prepared and for being positive about what you are teaching.
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Agree,Content-based approach instead of strategies approach,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Fluency ideas,Looking at content-based and strategy based classrooms and seeing the difference in the students responses.,Looking at the 4th grade lessons in order for it to be clearer how they build as taught. Some were confusing because out of order.,8,Still want to see some 3rd grade lessons :),NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,More complex texts and the different ways to improve fluency with my students.,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Collaboration with others,strategies based and text based questions,Maybe more examples on the different strategies for fluency,10,Leigh was very informative on the Guidebooks and its use in the classroom.,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Multiple reads and guiding questions,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Collaboration with piers,Becoming the student,Not sure,10,Very effective presentation,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Agree,Strongly agree,Fluency practicing with the lessons as a WHOLE GROUP,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Collaboration and movement,Feeling of support and eagerness to answer questions as well as support,Own teacher manual,9,"Leigh is phenomenal,",No
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reader's Circles,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,The activities were aligned to the information being presented and made for clear understanding of the topics being covered.,All of them! Really- I am not just saying this. Each activity brought clarity to the topic being discussed.,"Nothing! She is thorough and clear and makes sure all participants understand the topics being covered. She explains guidebooks in a clear, concise, and effective manner.",10,The training has been very organized and efficient. I do not feel as though my summer is being wasted.,Thank you!
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,I love how Guidebooks is not strategy based. I cant wait to see it play out in my classroom.,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,"She provided a very detailed, yet clear explanation of the material presented today.",Being able to actually practice and participate in the lessons expected of students.,Not sure,10,It provides a clear picture and explanation of what to expect using Guidebooks.,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,Reading circles close reads,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Engagement/ content presentation,Close read/ jigsaw,Nothing,10,Leigh’s input,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,The complete paradigm shift of using strategies as a minority and complex text as the king of the lesson.,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,"I really enjoyed the break down of Robert Frost’s poem , even though it gave me a minor head ache. I could see the steps guiding myself and students to understand a complex text better.",Discussions.,Over all nothing. I gained a lot of info.,10,The informations was presented clearly with knowledge to questions that were asked. Application of some activities helped me to better understand where my students would be struggling.,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,Diving into the texts.,Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,Everything,Looking at the lessons,Not reading Robert frost!(hahaha),8,It was very good,NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,"The shift of focus from strategies driving instruction to focus on rich, complex texts that naturally incorporate strategies.",Strongly agree,Leigh,Strongly agree,Strongly agree,NA,NA,NA,NA,We were able to stay on task and topic,"Working through the activities as a ""student,"" and studying real examples of Guidebook lessons.",Nothing,9,"The presenter is great, and I feel confident to apply the learning to my classroom.",NA
2019-07-23,Guidebooks CM-1,Lafayette Parish,Teacher or specialist,NA,Strongly agree,Strongly agree,Strongly agree,"The components of literacy, providing the complex text tonstudents and engaging in discussions that hit multiple strategies at a time. Also the cold read tasks.",Strongly agree,Mandi,Strongly agree,Strongly agree,NA,NA,NA,NA,The hands on experiences.,"Taking on the student and teacher roles, discussions, and the gallery walk.",N/A,9,Good in depth training,Lots of engagement today
2019-07-23,Guidebooks CM-1,Lafayette Parish,School-based administrator or supervisor,NA,Strongly agree,Strongly agree,Strongly agree,text based instruction and switching to a more student centered approach to discovering meaning using reader's circles.,Strongly agree,Mandi,Strongly agree,Strongly agree,NA,NA,NA,NA,Learning about the components and the fluency strategies. Working with peers and discussing.,The experiential with Reader's Circles was powerful.,Pace was good and the presenter is knowledgeable and pleasant.,10,Met my needs to be able to implement Guidebooks. Gave me great background knowledge and information.,Presenter has a good sense of humor and makes the sessions enjoyable.
